site_name,lat,long,Elevation
Lake Okataina,-38.1058,176.423,297
Lake Rotoma,-38.0507,176.579,289
Waikato River,-37.8067,175.305,18
University of Waikato aquarium,-37.7892,175.3174,57
Albany Pond,-36.726,174.71,39
Auckland Botanical Gardens,-37.011,174.907,57
Lake Waahi,-37.557,175.124,5
Hamilton Zoo Ponds,-37.7743,175.214,39
Jubilee Pond,-37.776,175.291,27
Knighton Lake,-37.786,175.315,47
Oranga Lake,-37.787,175.316,49
Stagnant Pond,-37.787951,175.320949,57
Kahikatea Pond,-37.788024,175.320815,57
Chapel Lake,-37.7883,175.315,51
Pathways College Pond,-37.789,175.3159,55
Raglan Harbour,-37.79,174.868,0
Experimental Ponds,-37.790426,175.320985,55
Glasshouse Pond,-37.8032,175.3028,42
Turtle Lake,-37.8054,175.3041,18
Lake Cameron,-37.855,175.303,60
Lake Mangakaware,-37.933,175.22,38
Lake Karapiro,-37.943,175.561,53
Lake Rotoehu,-38.0248,176.529,290
Lake Rotoiti,-38.04,176.35,276
Lake Tarawera,-38.181,176.4,274
Lake Taupo,-38.687,176.064,358
Lake Selfe,-43.24,171.52,549
Lake Lyndon,-43.297253,171.7063,817
Lake Coleridge,-43.297745,171.4995,437
Lake Clearwater,-43.600039,171.040145,667
Lake Camp,-43.61351,171.052064,674
Lake Tekapo,-43.883115,170.531031,702
Lake Pukaki,-44.07287,170.168384,455
Lake Hawea,-44.471034,169.29192,276
Lake Wanaka,-44.510458,169.132899,129
